interv_measure,scene,object_value,min_coverage,year
3,4,2000,,5
3,4,2500,,5
3,5,500,,5
3,5,1000,,5
3,5,1500,,5
3,5,2000,,5
3,5,2500,,5
3,6,500,,5
3,6,1000,,5
3,6,1500,,5
3,6,2000,,5
3,6,2500,,5
4,1,500,,1
4,1,1000,,1
4,1,1500,,1
4,1,2000,0,1
4,1,2500,0,1
4,2,500,,1
4,2,1000,,1
4,2,1500,,1
4,2,2000,,1
4,2,2500,,1
4,3,500,,1
4,3,1000,,1
4,3,1500,,1
4,3,2000,,1
4,3,2500,,1
4,4,500,,1
4,4,1000,,1
4,4,1500,,1
4,4,2000,,1
4,4,2500,,1
4,5,500,,1
4,5,1000,,1
4,5,1500,,1
4,5,2000,,1
4,5,2500,,1
4,6,500,,1
4,6,1000,,1
4,6,1500,,1
4,6,2000,,1
4,6,2500,,1
4,1,500,,3
4,1,1000,,3
4,1,1500,,3
4,1,2000,0,3
4,1,2500,0,3
4,2,500,,3
4,2,1000,,3
4,2,1500,,3
4,2,2000,,3
4,2,2500,,3
4,3,500,,3
4,3,1000,,3
4,3,1500,,3
4,3,2000,,3
4,3,2500,,3
4,4,500,,3
4,4,1000,,3
4,4,1500,,3
4,4,2000,,3
4,4,2500,,3
4,5,500,,3
4,5,1000,,3
4,5,1500,,3
4,5,2000,,3
4,5,2500,,3
4,6,500,,3
4,6,1000,,3
4,6,1500,,3
4,6,2000,,3
4,6,2500,,3
4,1,500,,5
4,1,1000,,5
4,1,1500,,5
4,1,2000,0,5
4,1,2500,0,5
4,2,500,,5
4,2,1000,,5
4,2,1500,,5
4,2,2000,,5
4,2,2500,,5
4,3,500,,5
4,3,1000,,5
4,3,1500,,5
4,3,2000,,5
4,3,2500,,5
4,4,500,,5
4,4,1000,,5
4,4,1500,,5
4,4,2000,,5
4,4,2500,,5
4,5,500,,5
4,5,1000,,5
4,5,1500,,5
4,5,2000,,5
4,5,2500,,5
4,6,500,,5
4,6,1000,,5
4,6,1500,,5
4,6,2000,,5
4,6,2500,,5
12,1,500,0.234760486,1
12,1,1000,0.150294844,1
12,1,1500,0.090112823,1
12,1,2000,0,1
12,1,2500,0,1
12,2,500,0.422213661,1
12,2,1000,0.24450238,1
12,2,1500,0.201538267,1
12,2,2000,0.16494125,1
12,2,2500,0.131701588,1
12,3,500,0.713520186,1
12,3,1000,0.391322135,1
12,3,1500,0.28595594,1
12,3,2000,0.234993792,1
12,3,2500,0.212858826,1
12,4,500,0.770017776,1
12,4,1000,0.500942192,1
12,4,1500,0.322970913,1
12,4,2000,0.262968856,1
12,4,2500,0.241100523,1
12,5,500,0.868492115,1
12,5,1000,0.71149084,1
12,5,1500,0.544317639,1
12,5,2000,0.387764427,1
12,5,2500,0.310864694,1
12,6,500,0.91181374,1
12,6,1000,0.805873963,1
12,6,1500,0.694060226,1
12,6,2000,0.572379876,1
12,6,2500,0.449895038,1
12,1,500,0.164966848,3
12,1,1000,0.101375141,3
12,1,1500,0.058213361,3
12,1,2000,0,3
12,1,2500,0,3
12,2,500,0.327361919,3
12,2,1000,0.173929423,3
12,2,1500,0.133679291,3
12,2,2000,0.109716253,3
12,2,2500,0.088699295,3
12,3,500,0.614809656,3
12,3,1000,0.292795528,3
12,3,1500,0.202180737,3
12,3,2000,0.16598986,3
12,3,2500,0.142707095,3
12,4,500,0.67969857,3
12,4,1000,0.368529109,3
12,4,1500,0.231105996,3
12,4,2000,0.185290152,3
12,4,2500,0.161249973,3
12,5,500,0.800263525,3
12,5,1000,0.596050195,3
12,5,1500,0.400145557,3
12,5,2000,0.277056066,3
12,5,2500,0.222302588,3
12,6,500,0.857440669,3
12,6,1000,0.708233749,3
12,6,1500,0.561883809,3
12,6,2000,0.422353712,3
12,6,2500,0.310277727,3
12,1,500,0.150442565,5
12,1,1000,0.0874159,5
12,1,1500,0.049915655,5
12,1,2000,0,5
12,1,2500,0,5
12,2,500,0.296985818,5
12,2,1000,0.160317765,5
12,2,1500,0.120800298,5
12,2,2000,0.095465693,5
12,2,2500,0.076216722,5
12,3,500,0.55992851,5
12,3,1000,0.264831333,5
12,3,1500,0.185526228,5
12,3,2000,0.149446085,5
12,3,2500,0.128866589,5
12,4,500,0.628560293,5
12,4,1000,0.330872112,5
12,4,1500,0.213156869,5
12,4,2000,0.171031305,5
12,4,2500,0.146025494,5
12,5,500,0.756558284,5
12,5,1000,0.540379735,5
12,5,1500,0.353001069,5
12,5,2000,0.251792383,5
12,5,2500,0.206762638,5
12,6,500,0.821392941,5
12,6,1000,0.657751878,5
12,6,1500,0.50702031,5
12,6,2000,0.371486517,5
12,6,2500,0.284349088,5
13,1,500,,1
13,1,1000,,1
13,1,1500,,1
13,1,2000,0,1
13,1,2500,0,1
13,2,500,,1
